,number of tones,usage_frequency,fluency,foreign_language,music_training,music_freq,absolute_pitch,Total_Pitch perception,Total_Rhythm perception,Total_Cadence learning,Total_Style learning,Total
number of tones,1.0,0.1918207105973276,0.07675635100380906,-0.07196953297678406,-0.14088415066388427,0.0015799454928622793,0.08804464939509578,-0.0227145812154217,-0.0919550870804471,-0.24167808988082864,-0.08971625703905879,-0.15890902223425127
usage_frequency,0.1918207105973276,1.0,0.5880003453038946,0.3191384520734501,-0.048270951616200104,-0.04280259295598193,0.028036957944966488,-0.0261225905929542,0.026561177440402893,-0.2509877098475743,-0.11764088750072173,-0.12637681673838494
fluency,0.07675635100380906,0.5880003453038946,1.0,0.032839700566158814,-0.3077732204883524,-0.11710973851173091,0.0976655175705116,-0.12373361133119275,-0.12288745018707048,-0.10697853060270823,-0.04075733808739133,-0.14647657652455104
foreign_language,-0.07196953297678406,0.3191384520734501,0.032839700566158814,1.0,0.2659663788256122,0.027448142817320838,0.08615395265060537,0.24545491369419134,0.2514531020361666,-0.037722464967767516,-0.0018873543565645456,0.17634054231559432
music_training,-0.14088415066388427,-0.048270951616200104,-0.3077732204883524,0.2659663788256122,1.0,0.1969257937280752,0.38966175400159775,0.31565399825197255,0.35954126031699685,0.2492889832201786,0.1471069276639841,0.39204432855168136
music_freq,0.0015799454928622793,-0.04280259295598193,-0.11710973851173091,0.027448142817320838,0.1969257937280752,1.0,0.13990772683008088,0.3372754733231865,0.361226865067959,0.11667726824228292,0.09681881147233351,0.33760913069010245
absolute_pitch,0.08804464939509578,0.028036957944966488,0.0976655175705116,0.08615395265060537,0.38966175400159775,0.13990772683008088,1.0,0.11894998497398152,0.16782160224019319,0.36394396091583064,0.20246288461074552,0.30016244759082206
Total_Pitch perception,-0.0227145812154217,-0.0261225905929542,-0.12373361133119275,0.24545491369419134,0.31565399825197255,0.3372754733231865,0.11894998497398152,1.0,0.5414121317915461,0.26546266830762727,0.1357104919044066,0.7356656413597624
Total_Rhythm perception,-0.0919550870804471,0.026561177440402893,-0.12288745018707048,0.2514531020361666,0.35954126031699685,0.361226865067959,0.16782160224019319,0.5414121317915461,1.0,0.28227870194232224,0.34881257564379886,0.782178107748943
Total_Cadence learning,-0.24167808988082864,-0.2509877098475743,-0.10697853060270823,-0.037722464967767516,0.2492889832201786,0.11667726824228292,0.36394396091583064,0.26546266830762727,0.28227870194232224,1.0,0.42827278496530774,0.702806400124934
Total_Style learning,-0.08971625703905879,-0.11764088750072173,-0.04075733808739133,-0.0018873543565645456,0.1471069276639841,0.09681881147233351,0.20246288461074552,0.1357104919044066,0.34881257564379886,0.42827278496530774,1.0,0.5912173376832994
Total,-0.15890902223425127,-0.12637681673838494,-0.14647657652455104,0.17634054231559432,0.39204432855168136,0.33760913069010245,0.30016244759082206,0.7356656413597624,0.782178107748943,0.702806400124934,0.5912173376832994,1.0
